Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
5,lucene,,0.402,15.027000000000001,172,860,828,0.9627906976744186,0.7224653641244188,0.8099372343435508,0.9500379231074523,0.0315447922624942,0.04913911777616868,0.050476707075454284
1,ii,,15.797,38.084,173,865,865,1.0,0.731391473225027,0.8211858252509205,0.9722783160203095,0.02853194593489295,0.03222145548735143,0.03299954701688806
1,svd,,17.939,0.458,173,865,865,1.0,0.7327645729185549,0.8209127818282891,0.9714926285017083,0.04011696278414379,0.053138593636320855,0.054848607168306855
5,lucene-svd-blend,1.0,25.298000000000002,70.231,172,860,860,1.0,0.7174195481582032,0.7898690066178321,0.9699506919666261,0.050721997566161685,0.09978317954935749,0.10317465241757455
5,lucene-svd-blend,0.7,8.472,70.501,172,860,860,1.0,0.7069713987947744,0.7822582911959478,0.973101790343286,0.05522248581677555,0.11414184239603441,0.12187429553640927
5,lucene-svd-blend,0.8,25.293,71.387,172,860,860,1.0,0.7091391383331512,0.7832609320614613,0.9723474850963122,0.05548304540017976,0.11748555439128915,0.1233993035847921
5,lucene-svd-blend,0.9,25.293,71.499,172,860,860,1.0,0.7126245801655765,0.7858027904743882,0.9721165668321091,0.05262709919648871,0.1049169923806053,0.11081311962152524
5,ii-svd-blend,0.9,25.291,95.69200000000001,172,860,860,1.0,0.7130075443038576,0.7858576843054462,0.970385482452043,0.05090177573692207,0.10678702863334136,0.10909675459859058
5,ii-svd-blend,0.8,25.291,95.889,172,860,860,1.0,0.7093494141127176,0.7826452506746421,0.9709432557484836,0.05071252245339288,0.10367317179605287,0.10869624185993958
5,ii-svd-blend,1.0,25.291,96.307,172,860,860,1.0,0.7174195481582032,0.7898690066178321,0.9699506919666261,0.050721997566161685,0.09978317954935749,0.10317465241757455
5,lucene-svd-blend,0.6,0.022,70.462,172,860,860,1.0,0.7061258819315916,0.7828007823644401,0.973732702579435,0.05412231581430791,0.11621954814831877,0.12024647033723264
5,lucene-svd-blend,0.5,0.024,70.43,172,860,860,1.0,0.7066051850076654,0.7848852017145661,0.9721507713045926,0.05478902742603609,0.11168905111057682,0.11659576185689086
5,ii-svd-blend,0.7,0.066,94.762,172,860,860,1.0,0.7064669996648129,0.7802415734119824,0.9713664784767934,0.05084251768701199,0.10320015094724397,0.10835852616375873
5,lucene-svd-blend,0.4,0.032,70.159,172,860,860,1.0,0.7084102582679892,0.7884993209541852,0.9720472954200049,0.053451196701709586,0.1023106369694497,0.10545178684025071
5,ii-svd-blend,0.6,0.093,94.651,172,860,860,1.0,0.7043763723266824,0.7786541423587342,0.971446925746048,0.0490549116397866,0.10045149432136212,0.1057594181354441
1,ii-svd-blend,0,35.554,98.33800000000001,173,865,865,1.0,0.731391473225027,0.8211858252509205,0.9722783160203095,0.02853194593489295,0.03222145548735143,0.03299954701688806
5,ii-svd-blend,0.5,0.064,94.294,172,860,860,1.0,0.7030867547400983,0.7778879546564552,0.9703575847918635,0.047285329685996344,0.09717262294369176,0.10243602369362861
5,ii-svd-blend,0.4,0.061,94.871,172,860,860,1.0,0.702599994549427,0.7779454368025869,0.9708448530634616,0.046489341891014724,0.08495245947622827,0.08797294512752787
5,lucene-svd-blend,0.3,0.018000000000000002,70.08,172,860,860,1.0,0.7115389635744596,0.7936222418093307,0.9711191393875078,0.04734344613718944,0.08473009896740005,0.08567486640926052
5,lucene-svd-blend,0.2,0.028,70.027,172,860,860,1.0,0.715984019676974,0.8002249874368362,0.9702074955055361,0.04314874961944908,0.07102297070234828,0.07189275660120394
5,lucene-svd-blend,0.1,0.019,70.02,172,860,860,1.0,0.7217311707408971,0.8082712927084958,0.9703822597641136,0.04037062597411303,0.05994573085373359,0.06166446754340051
5,ii-svd-blend,0.3,0.058,94.70100000000001,172,860,860,1.0,0.7029114153590278,0.7788264064215533,0.9708812565848919,0.04250389536654744,0.07545246503792638,0.07884758473011569
5,svd,,17.437,0.385,172,860,860,1.0,0.7128250171126523,0.7866785785194632,0.9697493984890585,0.04782440152338374,0.08506321518380638,0.09238286497565032
1,lucene-svd-blend,0,0.019,73.497,173,865,865,1.0,0.7512861819652034,0.8494387446251338,0.971193946697355,0.02134956359473083,0.020786791364913584,0.024231479050550463
4,lucene,,0.165,17.206,172,860,832,0.9674418604651163,0.7349304876398766,0.8276117363813575,0.9516933258007465,0.03944978724720893,0.05874416378722452,0.0605511345545686
5,ii-svd-blend,0.2,0.061,94.806,172,860,860,1.0,0.7040119822418013,0.780528075146711,0.9710994944767042,0.0405977126716986,0.07084966340374171,0.07442290097043858
5,lucene-svd-blend,0,0.026000000000000002,70.027,172,860,860,1.0,0.7287591402553667,0.8177185450933591,0.969041303624692,0.0315447922624942,0.04913911777616868,0.050476707075454284
5,ii,,0.062,37.18,172,860,860,1.0,0.7085374691381213,0.7863696292222896,0.9712877013602067,0.03384997279330981,0.04642040081425371,0.04763702441459823
5,ii-svd-blend,0.1,0.055,88.628,172,860,860,1.0,0.705890860319457,0.7830450925075302,0.9703237201623643,0.03789857068377426,0.05159163742008079,0.05509294424645603
5,ii-svd-blend,0,0.064,86.558,172,860,860,1.0,0.7085374691381213,0.7863696292222896,0.9712877013602067,0.03384997279330981,0.04642040081425371,0.04763702441459823
1,ii-svd-blend,0.1,0.058,91.328,173,865,865,1.0,0.7283571230175501,0.8179390011734592,0.9728494154685836,0.03240462922624045,0.03871272905081981,0.04017616606338978
4,lucene-svd-blend,1.0,25.989,69.537,172,860,860,1.0,0.7496202437238358,0.8389051578294943,0.9671602780616918,0.060292361813352624,0.10749378102508081,0.11514168867298845
4,lucene-svd-blend,0.9,18.591,69.638,172,860,860,1.0,0.741354016372023,0.8290236597705845,0.9687005113031986,0.06370340516337293,0.10631712745259941,0.11223820242035899
4,lucene-svd-blend,0.8,5.632,70.351,172,860,860,1.0,0.7346609460132627,0.8210814503424949,0.969410202949374,0.06260776178359692,0.10192429458696631,0.10900225946674377
4,lucene-svd-blend,0.7,0.018000000000000002,71.162,172,860,860,1.0,0.729588226345114,0.8151352174604484,0.9706433919585833,0.06331862286945199,0.10780020552173677,0.11534558386999871
4,ii-svd-blend,0.9,32.189,95.23,172,860,860,1.0,0.7455673236548237,0.8343412262082909,0.9667665445591955,0.06179862037353023,0.10676872713889415,0.10928359013687329
4,ii-svd-blend,0.8,14.964,95.242,172,860,860,1.0,0.742233435660495,0.8306045542585565,0.9684984215762471,0.060770609947194125,0.10264325848451888,0.1089477315925815
4,ii-svd-blend,1.0,35.951,95.453,172,860,860,1.0,0.7496202437238358,0.8389051578294943,0.9671602780616918,0.060292361813352624,0.10749378102508081,0.11514168867298845
1,lucene-svd-blend,0.1,0.023,73.157,173,865,865,1.0,0.7426083480393084,0.8383971650946861,0.9718056691855292,0.023299734946629767,0.026880582310035084,0.030148800506627237
4,lucene-svd-blend,0.6,0.017,70.731,172,860,860,1.0,0.7261810332599845,0.8112288532853629,0.9698837003080487,0.06477924536613061,0.10823101257347784,0.12177705954975734
4,lucene-svd-blend,0.5,0.021,70.456,172,860,860,1.0,0.7244802183991692,0.8093918933815154,0.9705659846332252,0.06521620420849314,0.10042658873644528,0.10879265504967302
4,ii-svd-blend,0.7,0.055,94.955,172,860,860,1.0,0.7396325981536853,0.8277063460224481,0.9685885378615953,0.06059680259395946,0.10292968767030385,0.10828066795675856
4,ii-svd-blend,0.6,0.06,95.171,172,860,860,1.0,0.7377789140222731,0.8256554310504383,0.968489016270971,0.05888773526005071,0.10301769051012856,0.10962658881276834
4,lucene-svd-blend,0.4,0.019,70.537,172,860,860,1.0,0.7245211659383058,0.8096384234653016,0.9709608149739438,0.059572164046801275,0.09294635561258036,0.09736669634875557
4,ii-svd-blend,0.5,0.065,94.828,172,860,860,1.0,0.7366865598847979,0.824458132525124,0.9682382625408389,0.05712331096676502,0.10221177467365213,0.10616232883215158
4,ii-svd-blend,0.4,0.06,94.998,172,860,860,1.0,0.7363694826723854,0.8241181709178728,0.967979097823887,0.05482209572898867,0.09879152856517841,0.10228365744632918
4,lucene-svd-blend,0.3,0.016,70.976,172,860,860,1.0,0.7263343912137846,0.8119665457650828,0.9712560073373919,0.052318849769521544,0.08126276372536703,0.08377714211183845
4,lucene-svd-blend,0.2,0.016,70.459,172,860,860,1.0,0.7299449903738321,0.816358451381877,0.970417302076986,0.046105573733381484,0.07112796338019338,0.07162824917180881
1,ii-svd-blend,0.2,0.06,98.491,173,865,865,1.0,0.7260839171799403,0.8154648727051858,0.9722323339623956,0.037408527153300994,0.047129022052694466,0.047878580525861095
4,lucene-svd-blend,0.1,0.017,70.226,172,860,860,1.0,0.7353681694937945,0.8227810923047454,0.9699029126724275,0.0424219606416287,0.06337606674401783,0.06471515648085038
4,svd,,17.057,0.38,172,860,860,1.0,0.7496943406012732,0.8373786872701768,0.9666100535626445,0.063612471981134,0.10241409175250508,0.11167905966572883
4,ii-svd-blend,0.3,0.053,94.645,172,860,860,1.0,0.7368407741569546,0.8246366065569136,0.9677683802711878,0.05107810523692738,0.08487446956828809,0.08870796591330436
4,ii-svd-blend,0.2,0.058,94.678,172,860,860,1.0,0.738111757694276,0.826011823158034,0.9683680304823515,0.04792095569892005,0.07503180501659319,0.079978436406275
