Partition,Algorithm,BlendWeight,User,TestTime,NAttempted,NGood,Coverage,RMSE,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,,316,4.708,5,5,1.0,0.6536439235002437,0.994341650900458,11.504142376861159,0.0,0.0,,0.0
5,lucene,,1447,0.386,5,5,1.0,0.4779298456658451,0.9732265720199264,13.41587528625504,0.0,0.0,,0.0
5,lucene,,1588,0.1,5,5,1.0,0.8710056084028269,0.8990540866055123,11.75028381172028,0.09213130580644895,0.1,10,0.1
5,lucene,,1935,0.065,5,5,1.0,1.2824730301097853,0.9247287040980875,11.33532532593068,0.0755027558749622,0.05,20,0.05
5,lucene,,2702,0.078,5,5,1.0,0.31185193377385656,1.0,14.881213565291738,0.0,0.0,,0.0
5,lucene,,2847,0.059000000000000004,5,5,1.0,1.4428752705930785,1.0,15.119987046893984,0.0778469295762383,0.05263157894736842,19,0.05263157894736842
5,lucene,,3076,0.079,5,5,1.0,0.5973111286393864,0.9766380015588774,11.90015721397125,0.0,0.0,,0.0
5,lucene,,4215,0.089,5,5,1.0,1.2833475452233627,0.9194452724863198,12.9964252465794,0.0,0.0,,0.0
5,lucene,,9050,0.078,5,5,1.0,0.934281509041216,0.9654079871954347,14.06189012336513,0.0,0.0,,0.0
5,lucene,,12255,0.032,5,3,0.6,1.4396447238324652,0.7664854225736476,11.892789260714373,0.0,0.0,,0.0
5,lucene,,12288,0.08600000000000001,5,5,1.0,0.5383790333504552,1.0,11.038804097824462,0.1452088765939788,0.14285714285714285,7,0.14285714285714285
5,lucene,,12569,0.07200000000000001,5,5,1.0,0.6126560273121503,0.984673756498525,16.06189012336513,0.0,0.0,,0.0
5,lucene,,12778,0.095,5,5,1.0,0.34679982805674886,0.9973840770917946,13.215622090756977,0.08308708365614124,0.058823529411764705,17,0.058823529411764705
5,lucene,,12882,0.056,5,5,1.0,0.8221686807218976,0.963498915726197,12.800030616222216,0.0,0.0,,0.0
5,lucene,,12930,0.031,5,5,1.0,0.6941775322784833,0.9304771125454633,10.965622090756977,0.0,0.0,,0.0
5,lucene,,13927,0.029,5,5,1.0,0.6945858056311375,0.989869944676301,16.180960369793674,0.30587490546116547,1.0,1,1.0
5,lucene,,13952,0.091,5,5,1.0,1.1627337542618001,0.9862173367380802,13.204395572359223,0.0,0.0,,0.0
5,lucene,,14328,0.06,5,5,1.0,0.9223473858288176,1.0,11.288804097824462,0.0,0.0,,0.0
5,lucene,,14833,0.043000000000000003,5,4,0.8,0.4119274522327426,0.8885635343049495,11.77371901428583,0.06462328728810987,0.058823529411764705,17,0.058823529411764705
5,lucene,,15324,0.055,5,5,1.0,0.8203414163764147,0.9602286880755262,14.946678442077467,0.0896015190895076,0.08333333333333333,12,0.08333333333333333
5,lucene,,16539,0.036000000000000004,5,5,1.0,0.8080403627861977,0.9650233918946125,11.989057293322526,0.0,0.0,,0.0
5,lucene,,16883,0.055,5,5,1.0,0.7202892003610546,0.9543017770000733,15.662016721114163,0.0,0.0,,0.0
5,lucene,,17022,0.065,5,5,1.0,0.6187981239210094,0.9476101448608015,13.565748688506009,0.0,0.0,,0.0
5,lucene,,17318,0.078,5,5,1.0,0.8491513864755064,0.9570331134022183,12.680960369793672,0.0842073874385683,0.08333333333333333,12,0.08333333333333333
5,lucene,,17630,0.083,5,5,1.0,0.5045876937136027,1.0,12.284945532683583,0.11598169032507238,0.14285714285714285,7,0.14285714285714285
5,lucene,,18127,0.11900000000000001,5,4,0.8,0.6535675007522862,0.8164025573802705,10.261859507142916,0.0,0.0,,0.0
5,lucene,,18192,0.076,5,5,1.0,0.5338929703478077,0.995571037709914,14.715622090756977,0.0,0.0,,0.0
5,lucene,,19114,0.05,5,5,1.0,0.5401699710224093,0.9977464898451499,15.346551844328435,0.0,0.0,,0.0
5,lucene,,19414,0.065,5,5,1.0,0.6482490704368817,1.0,15.846551844328435,0.14198672506822277,0.25,4,0.25
5,lucene,,20530,0.07,5,5,1.0,0.7660225392807234,0.9633429750849766,14.961763525616098,0.15669227056858556,0.11437908496732026,9,0.1111111111111111
5,lucene,,21391,0.046,5,5,1.0,0.5642973932056028,0.9672058310558286,10.885072130432615,0.0,0.0,,0.0
5,lucene,,21413,0.025,5,5,1.0,0.9482982545021658,0.946119659470013,13.169733851395918,0.0,0.0,,0.0
5,lucene,,21860,0.105,5,5,1.0,0.9633721692151992,0.9948342163343727,13.350410409469312,0.0,0.0,,0.0
5,lucene,,22074,0.053,5,5,1.0,1.1293498393964552,0.9389906483451513,13.677101804652795,0.0,0.0,,0.0
5,lucene,,22245,0.024,5,4,0.8,0.44905691969988354,0.9167922896669976,11.52371901428583,0.0,0.0,,0.0
5,lucene,,24200,0.07200000000000001,5,5,1.0,0.5257311829900725,0.9913271749124191,14.965622090756977,0.0,0.0,,0.0
5,lucene,,24797,0.059000000000000004,5,5,1.0,0.7022234263086573,0.9656244886491899,15.992566681438523,0.054986537647840346,0.047619047619047616,21,0.047619047619047616
5,lucene,,27142,0.056,5,5,1.0,0.4307023252764268,0.9921420224356429,16.531086967542706,0.15004186118910753,0.25,4,0.25
5,lucene,,27242,0.056,5,5,1.0,1.0830743053684244,0.9059698714233178,9.004142376861159,0.0,0.0,,0.0
5,lucene,,27456,0.044,5,5,1.0,0.6296118734807052,0.9680127203232497,15.131213565291738,0.0,0.0,,0.0
5,lucene,,27731,0.062,5,5,1.0,0.6263804497691923,0.9684473944292838,15.346551844328435,0.0,0.0,,0.0
5,lucene,,30516,0.036000000000000004,5,5,1.0,0.8611109891908736,0.9831833210021914,10.788804097824462,0.0,0.0,,0.0
5,lucene,,31476,0.053,5,5,1.0,0.5199844497309273,0.9767065017649703,14.680960369793672,0.0,0.0,,0.0
5,lucene,,31921,0.11800000000000001,5,5,1.0,0.3216526347513499,0.9858053004159875,12.815748688506009,0.0,0.0,,0.0
5,lucene,,33871,0.045,5,5,1.0,0.6370517225572423,0.9780086340035219,15.742566681438523,0.0,0.0,,0.0
5,lucene,,34156,0.081,5,5,1.0,1.1607251858111687,0.9063020867519619,13.096551844328435,0.0,0.0,,0.0
5,lucene,,35050,0.077,5,5,1.0,0.15010022790571428,1.0,11.784945532683583,0.0,0.0,,0.0
5,lucene,,35613,0.108,5,5,1.0,0.8043114614650377,0.9811889407242911,8.838550902326396,0.0,0.0,,0.0
5,lucene,,36665,0.027,5,5,1.0,0.6628764961791707,0.9917069313725101,12.434818934934553,0.0,0.0,,0.0
5,lucene,,39271,0.067,5,5,1.0,0.512121691989009,0.9914338813994666,11.588550902326398,0.09854075549922024,0.06666666666666667,15,0.06666666666666667
5,lucene,,40071,0.042,5,5,1.0,0.3462357737189807,1.0,12.819607253646886,0.0,0.0,,0.0
5,lucene,,40618,0.079,5,5,1.0,0.817483869617569,0.9707483885212255,11.619354058148824,0.10794367035327827,0.2,5,0.2
5,lucene,,41244,0.153,5,5,1.0,0.39366522282125976,1.0,10.219480655897856,0.0,0.0,,0.0
5,lucene,,41486,0.067,5,5,1.0,1.3187464910600468,0.9373064960691198,11.846551844328435,0.06414422887577775,0.07692307692307693,13,0.07692307692307693
5,lucene,,41613,0.053,5,5,1.0,0.7476100290074905,0.9979762362044228,17.092693279187557,0.09731021904152665,0.125,8,0.125
5,lucene,,42944,0.022,5,5,1.0,0.7582163449811204,0.9300466999551129,13.346551844328435,0.0,0.0,,0.0
5,lucene,,44194,0.029,5,5,1.0,1.1126693715736193,0.9645764653821299,12.881213565291738,0.0,0.0,,0.0
5,lucene,,44459,0.068,5,4,0.8,0.7145702309682406,0.8565228977887028,12.077324383928644,0.0,0.0,,0.0
5,lucene,,45371,0.651,5,4,0.8,1.2422769194978585,0.9461108379920432,13.7082541375001,0.0,0.0,,0.0
5,lucene,,45476,0.038,5,5,1.0,0.15577912885111228,1.0,17.80803155822425,0.0,0.0,,0.0
5,lucene,,45537,0.042,5,5,1.0,1.5815945659992607,0.9474106249077539,10.822832830042605,0.09114487993388769,0.05,20,0.05
5,lucene,,45928,0.063,5,5,1.0,0.4608787318844348,0.9905231517651748,13.684818934934553,0.08554895824434547,0.07142857142857142,14,0.07142857142857142
5,lucene,,46645,0.063,5,5,1.0,0.36835134314362517,1.0,15.346551844328435,0.06575400254175125,0.045454545454545456,22,0.045454545454545456
5,lucene,,46809,0.059000000000000004,5,5,1.0,0.5167713646181603,0.9438147677300658,13.180960369793672,0.0,0.0,,0.0
5,lucene,,47150,0.094,5,5,1.0,0.7103625285311267,0.990218225774535,13.254142376861159,0.0,0.0,,0.0
5,lucene,,47414,0.066,5,5,1.0,0.39819597460495804,1.0,12.684818934934553,0.0,0.0,,0.0
5,lucene,,48838,0.061,5,4,0.8,0.6190528416568323,0.871246969904193,14.154648767857287,0.0,0.0,,0.0
5,lucene,,49455,0.048,5,5,1.0,0.8023131957713554,0.9834249980001701,15.06189012336513,0.0,0.0,,0.0
5,lucene,,49806,0.018000000000000002,5,4,0.8,0.6534019563769433,0.8625315790237883,9.892789260714373,0.0,0.0,,0.0
5,lucene,,51460,0.023,5,5,1.0,0.710066480111054,0.9869250142731614,15.115495493007945,0.0,0.0,,0.0
5,lucene,,51539,0.074,5,5,1.0,0.549877055785296,1.0,15.2464252465794,0.08531781695662288,0.09090909090909091,11,0.09090909090909091
5,lucene,,51549,0.064,5,5,1.0,0.69447450124376,0.997704584178615,15.065748688506009,0.08100791153491038,0.058823529411764705,17,0.058823529411764705
5,lucene,,52437,0.047,5,4,0.8,0.7736684071828421,0.8702908025743797,12.02371901428583,0.0,0.0,,0.0
5,lucene,,52520,0.062,5,4,0.8,0.2769180959687565,0.9173996245336196,11.9582541375001,0.0,0.0,,0.0
5,lucene,,52762,0.096,5,5,1.0,0.7647165964697807,0.9204123743798183,11.965622090756977,0.0,0.0,,0.0
5,lucene,,53023,0.042,5,5,1.0,0.5635886503020874,0.982865626943455,14.56189012336513,0.13080975872881773,0.2,5,0.2
5,lucene,,53413,0.059000000000000004,5,5,1.0,0.1673126449449015,1.0,16.56189012336513,0.0,0.0,,0.0
5,lucene,,53819,0.028,5,5,1.0,0.3382201066744866,0.9960472581149797,16.496425246579403,0.13002035240706147,0.2,5,0.2
5,lucene,,54643,0.025,5,5,1.0,1.2215442584391534,0.9387430578153487,13.377355000150859,0.0,0.0,,0.0
5,lucene,,54989,0.057,5,5,1.0,1.013054845443117,1.0,10.477197786179612,0.0,0.0,,0.0
5,lucene,,57387,0.076,5,5,1.0,1.3565888286571748,0.9612070223814829,12.388930695573494,0.0,0.0,,0.0
5,lucene,,58166,0.059000000000000004,5,5,1.0,0.7887986520061662,0.9840553274098146,11.388930695573494,0.0,0.0,,0.0
5,lucene,,58265,0.063,5,5,1.0,1.165300366149056,0.9020168351468191,8.319607253646886,0.0,0.0,,0.0
5,lucene,,58612,0.07,5,4,0.8,0.37618149314756233,0.9227918193707013,11.077324383928644,0.07844255956857217,0.05263157894736842,19,0.05263157894736842
5,lucene,,59812,0.057,5,5,1.0,0.8444407946604554,1.0,14.950537007218344,0.0,0.0,,0.0
5,lucene,,61755,0.026000000000000002,5,5,1.0,0.38534607918498265,0.9729462024782403,15.627355000150859,0.0,0.0,,0.0
5,lucene,,62716,0.046,5,5,1.0,0.16889219596717614,1.0,14.2464252465794,0.0,0.0,,0.0
5,lucene,,63018,0.038,5,5,1.0,0.973286840231537,0.9803215016141481,14.180960369793672,0.0,0.0,,0.0
5,lucene,,64100,0.055,5,5,1.0,0.4905452112106188,0.9952734341546319,13.784945532683583,0.0,0.0,,0.0
5,lucene,,64365,0.049,5,5,1.0,0.3697586976820138,0.9830467387302566,14.4964252465794,0.0,0.0,,0.0
5,lucene,,64655,0.062,5,5,1.0,0.30935917574971045,1.0,14.565748688506009,0.0,0.0,,0.0
5,lucene,,66402,0.022,5,3,0.6,2.3451948831603335,0.6851447505830648,7.154648767857287,0.025878594312685476,0.07692307692307693,13,0.07692307692307693
